Processed,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body,Highest Alert,Tags
Successfully,Wed Jul 25 16:59:16 EDT 2018,GET,http://127.0.0.1:8090/wavsep/index-active.jsp,200,OK,27,230,457,Medium,SetCookie
Successfully,Wed Jul 25 16:59:16 EDT 2018,GET,http://127.0.0.1:8090/wavsep/,200,OK,24,231,1504,Medium,SetCookie
Successfully,Wed Jul 25 16:59:16 EDT 2018,GET,http://127.0.0.1:8090/wavsep,302,Found,15,127,0,,
Successfully,Wed Jul 25 16:59:16 EDT 2018,GET,http://127.0.0.1:8090/wavsep/index-passive.jsp,200,OK,16,148,455,Medium,
Successfully,Wed Jul 25 16:59:16 EDT 2018,GET,http://127.0.0.1:8090/wavsep/active/index-main.jsp,200,OK,496,148,680,Medium,
Successfully,Wed Jul 25 16:59:16 EDT 2018,GET,http://127.0.0.1:8090/wavsep/passive/index.jsp,200,OK,421,148,625,Medium,Comment
Successfully,Wed Jul 25 16:59:16 EDT 2018,GET,http://127.0.0.1:8090/wavsep/passive/info/index.jsp,200,OK,335,148,765,Medium,Comment
Successfully,Wed Jul 25 16:59:16 EDT 2018,GET,http://127.0.0.1:8090/wavsep/passive/session/index.jsp,200,OK,260,148,740,Medium,Comment
Successfully,Wed Jul 25 16:59:16 EDT 2018,GET,http://127.0.0.1:8090/wavsep/active/index-xss.jsp,200,OK,313,149,1677,Medium,
Successfully,Wed Jul 25 16:59:16 EDT 2018,GET,http://127.0.0.1:8090/wavsep/active/index-sql.jsp,200,OK,24,149,2421,Medium,
Successfully,Wed Jul 25 16:59:16 EDT 2018,GET,http://127.0.0.1:8090/wavsep/active/index-lfi.jsp,200,OK,291,149,2678,Medium,
Successfully,Wed Jul 25 16:59:17 EDT 2018,GET,http://127.0.0.1:8090/wavsep/active/index-rfi.jsp,200,OK,310,149,2417,Medium,
Successfully,Wed Jul 25 16:59:17 EDT 2018,GET,http://127.0.0.1:8090/wavsep/active/index-redirect.jsp,200,OK,328,149,1388,Medium,
Successfully,Wed Jul 25 16:59:17 EDT 2018,GET,http://127.0.0.1:8090/wavsep/active/index-false.jsp,200,OK,316,149,1200,Medium,
Successfully,Wed Jul 25 16:59:17 EDT 2018,GET,http://127.0.0.1:8090/wavsep/passive/info/info-app-stack-trace.jsp,200,OK,397,149,2944,Medium,Comment
Successfully,Wed Jul 25 16:59:17 EDT 2018,GET,http://127.0.0.1:8090/wavsep/passive/session/session-password-autocomplete.jsp,200,OK,308,148,860,Medium,"Form, Password, Comment"
Successfully,Wed Jul 25 16:59:18 EDT 2018,GET,http://127.0.0.1:8090/wavsep/passive/info/info-server-stack-trace.jsp,500,Internal Server Error,208,204,2514,Medium,
